User Query,Intent,Bot Response
Can you export the details of my latest quote?,quote detail,Please provide the quote number to export the details.
Where is my shipment now?,order shipment,Please provide a shipment identifier for tracking.
Can you provide invoice details?,order invoice,Please provide the HPE invoice number for details.
I want to check the status of my quote,quote detail,Please provide the quote number for status.
Can I get proof of my order delivery?,order delivery,Please provide the order number or deal ID for proof of delivery.
Need help with resetting my device,reset,Can you specify the device or system you want to reset?
How do I get details for my order delivery?,order delivery,Please provide the order number or deal ID for delivery details.
Can you track the delivery of my last order?,order delivery,Please provide the order number or deal ID for delivery tracking.
What's the progress on my order's shipment?,order shipment,Please provide the order number or deal ID for shipment progress.
Can I see my recent order invoices?,order invoice,Please provide an identifier to view recent invoices.
I want to export the details of my shipment,order shipment,Please provide the shipment identifier to export details.
What is the status of my recent quote?,quote detail,Please provide the quote number for status.
I am looking for my order delivery status,order delivery,Please provide the order number or deal ID for delivery status.
"Hello, I need help with a product setup",search,What product do you need help setting up?
Can you provide details of my shipment?,order shipment,Please provide a shipment identifier for details.
I need a guide on setting this up.,search,Searching for a setup guide...
I'm not satisfied with this.,raise question,I'm sorry to hear that. How can I assist you further?
Just checking in!,small talk,Hello! How can I help you today?
Is my order shipment on its way?,order shipment,Please provide a shipment identifier to check the status.
Help me understand my invoice better.,order invoice,Please provide the HPE invoice number for detailed explanation.
Can I cancel a shipment I just made?,order shipment,Please provide a shipment identifier to process cancellation.
Where's my order delivered to?,order delivery,Please provide the order number or deal ID for delivery details.
How do I reset my account settings?,reset,Could you specify which account settings you'd like to reset?
How can I track my order's delivery status?,order delivery,Please provide the order number or deal ID for tracking delivery.
Tell me more about my quote details.,quote detail,Please provide the quote number for more details.
I have a question about my recent purchase.,raise question,"Sure, what is your question regarding the recent purchase?"
Good morning! How's the day going?,small talk,Good morning! I'm here to assist you. How can I help today?
Can you provide details of my shipment?,order shipment,Please provide a shipment identifier for details.
I need a guide on setting this up.,search,Searching for a setup guide...
I'm not satisfied with this.,raise question,I'm sorry to hear that. How can I assist you further?
Just checking in!,small talk,Hello! How can I help you today?
How do I track my delivery?,order delivery,Please provide your order number or deal ID for tracking.
